,CEP,latitude,longitude,valor_total,contagem,bairro_dominante
168,41750030,-12.9777334,-38.501648,44670.19,39,ARMACAO
169,41100025,-12.9655937,-38.4658528,3462.7299999999996,4,PERNAMBUES
170,40800710,-12.8390564,-38.4637896,38287.92,21,PARIPE
171,40050300,-12.9812662,-38.50651970000001,47439.97,26,NAZARE
172,40340580,-12.9512736,-38.4812599,99960.15,24,IAPI
173,41510610,-12.91443,-38.3486713,1263.3500000000001,5,S CRISTOVAO
174,41320010,-12.9065086,-38.4312825,320932.21,35,CASTELO BRANCO
175,40435000,-12.9280969,-38.4991175,66042.73,46,MASSARANDUBA
176,40310380,-12.9777334,-38.501648,4068.45,10,PAU MIUDO
177,40252380,-12.9777334,-38.501648,20534.63,15,COSME DE FARIAS
178,41925230,-12.9777334,-38.501648,100.09,2,STA CRUZ
179,41820520,-12.9777334,-38.501648,17653.79,12,CAM DAS ARVORES
180,40240635,-12.9889649,-38.4997648,4758.13,8,ENGENHO VELHO DE BROTAS
181,40420240,-12.9777334,-38.501648,15835.53,12,RIBEIRA
182,41612050,-12.9777334,-38.501648,63625.58,24,JD PLACAFORD
183,41900475,-13.0096893,-38.4700426,18766.62,7,AMARALINA
184,41100240,-12.9777334,-38.501648,3991.73,9,PERNAMBUES
185,41321755,-12.9077192,-38.4331258,2222.6,5,CASTELO BRANCO
186,40365000,-12.9479452,-38.48943149999999,28812.35,27,CURUZU
187,41515235,-12.9342225,-38.3803679,16554.73,10,BAIRRO DA PAZ
188,40325350,-12.9777334,-38.501648,38971.29,18,LIBERDADE
189,41905745,-13.0089079,-38.4732464,6865.68,8,NORDESTE
190,41290200,-12.9777334,-38.501648,59269.99,60,PIRAJA
191,41120440,-12.9777334,-38.501648,1632.64,3,PERNAMBUES
192,40140400,-12.9777334,-38.501648,4723.96,3,BARRA
193,40040000,-12.9777334,-38.501648,13098.26,15,NAZARE
194,40270620,-12.9777334,-38.501648,14730.73,33,VL LAURA
195,41810011,-12.9777334,-38.501648,120700.68,39,PITUBA
196,40255275,-12.9718289,-38.4925297,30808.299999999996,4,MATATU
197,40484665,-12.9061292,-38.4728268,1073.17,7,AT DO CABRITO
198,40390070,-12.9777334,-38.501648,3150.9300000000003,9,S CAETANO
199,41181160,-12.9777334,-38.501648,1355.31,5,CABULA VI
200,41610395,-12.9428709,-38.3712913,3511.8400000000006,4,ITAPUA
201,41906025,-13.0052708,-38.471932,565.9,1,NORDESTE
202,41192370,-12.9777334,-38.501648,886.9200000000001,4,NARANDIBA
203,41350050,-12.9777334,-38.501648,4604.96,12,NOVA BRASILIA
204,40243380,-12.9777334,-38.501648,1006.21,1,ENGENHO VELHO DE BROTAS
205,40270580,-12.9743292,-38.4904128,15978.65,24,VL LAURA
206,40717140,-12.9777334,-38.501648,16737.72,12,PLATAFORMA
207,41500260,-12.9777334,-38.501648,272057.89,14,S CRISTOVAO
208,40279080,-12.9866373,-38.4734928,115771.06999999999,56,PRQ BELA VISTA
209,41100099,-12.9744155,-38.4643579,1328.9299999999998,5,PERNAMBUES
210,41305490,-12.9777334,-38.501648,3121.52,6,VALERIA
211,40255175,-12.9749453,-38.4925633,3123.94,6,MATATU
212,41152000,-12.9777334,-38.501648,109334.85,84,RESGATE
213,40260475,-12.9753179,-38.4872919,39503.81,39,LUIZ ANSELMO
214,41810480,-12.9777334,-38.501648,59962.159999999996,10,PITUBA
215,40300176,-12.9622176,-38.4959919,3639.11,10,BX DE QUINTAS
216,41306745,-12.8538823,-38.450093,14660.199999999999,14,NOVA BRASILIA DE VALERIA
217,41750130,-12.9777334,-38.501648,2122.82,3,ARMACAO
218,40430160,-12.9777334,-38.501648,8255.22,24,VL RUY BARBOSA
219,40340420,-12.9777334,-38.501648,136050.82,32,IAPI
220,41830290,-13.0045525,-38.4628465,11321.0,13,PITUBA
221,40470370,-12.9777334,-38.501648,21632.07,23,LOBATO
222,41950260,-12.9777334,-38.501648,244397.19,24,RIO VERMELHO
223,41615170,-12.9777334,-38.501648,4127.03,10,AT DO COQUEIRINHO
224,40050090,-12.9837775,-38.5099095,12378.579999999998,10,TORORO
225,41385705,-12.9115642,-38.4269789,4903.55,2,SETE DE ABRIL
226,41194125,-12.9614507,-38.4400509,3068.17,4,DORON
227,40285440,-12.9777334,-38.501648,15527.99,21,BROTAS
228,41830300,-13.0050134,-38.4644323,256425.47,44,PITUBA
229,40040050,-12.9777334,-38.501648,18980.27,20,NAZARE
230,41720075,-12.9719361,-38.4304488,72329.18,55,IMBUI
231,41600735,-12.9340486,-38.3290972,18062.010000000002,5,STELLA MARIS
232,41205255,-12.9398791,-38.4457216,47995.770000000004,16,TANCREDO NEVES
233,41905150,-12.9777334,-38.501648,3100.46,4,NORDESTE
